date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:32	262695/262695	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:07:37%20GMT	https://akademi.dexignlab.com/xhtml/index.html?theme=4	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/index8704.html	(from )
23:28:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2019:28:32%20GMT	https://akademi.dexignlab.com/robots.txt		(from )
23:28:32	508/508	---M--	200	added ('OK')	image/png	date:Tue,%2016%20May%202023%2012:08:16%20GMT	https://akademi.dexignlab.com/xhtml/images/favicon.png	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/images/favicon.png	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:33	141805/141805	---M--	200	added ('OK')	image/png	date:Wed,%2017%20May%202023%2005:57:58%20GMT	https://akademi.dexignlab.com/xhtml/social-image.png	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/social-image.png	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:33	57095/57095	---M--	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2013:30:47%20GMT	https://akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:33	11120/11120	---M--	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2013:29:20%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:34	10294/10294	---M--	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2013:23:26%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:34	4048/4048	---M--	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2013:27:05%20GMT	https://akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:34	15731/15731	---M--	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2013:24:27%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
23:28:34	14996/14996	---M--	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2013:24:20%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	D:/Leia's%20files/StudentManagementSystem/akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://akademi.dexignlab.com/xhtml/index.html?theme=4)
